# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_volume
895 0.517622 -5.62419 140.608
896 0.51855 -5.62555 140.608
897 0.520415 -5.62619 140.608
898 0.52342 -5.62858 140.608
899 0.527598 -5.63247 140.608
900 0.532811 -5.63845 140.608
901 0.538773 -5.64474 140.608
902 0.545089 -5.65108 140.608
903 0.551327 -5.65811 140.608
904 0.557056 -5.66416 140.608
905 0.561868 -5.67005 140.608
906 0.565411 -5.67346 140.608
907 0.567402 -5.67607 140.608
908 0.567656 -5.67542 140.608
909 0.56611 -5.67387 140.608
910 0.562863 -5.66986 140.608
911 0.558183 -5.66545 140.608
912 0.552475 -5.65911 140.608
913 0.546249 -5.65285 140.608
914 0.540045 -5.64722 140.608
915 0.534341 -5.64165 140.608
916 0.529503 -5.6365 140.608
917 0.525767 -5.63351 140.608
918 0.523259 -5.6304 140.608
919 0.522053 -5.62919 140.608
920 0.522197 -5.62857 140.608
921 0.523734 -5.63056 140.608
922 0.526691 -5.63352 140.608
923 0.531045 -5.63817 140.608
924 0.536722 -5.64386 140.608
925 0.543583 -5.65134 140.608
926 0.551407 -5.65903 140.608
927 0.5599 -5.66694 140.608
928 0.568717 -5.67577 140.608
929 0.577477 -5.6838 140.608
930 0.585776 -5.69197 140.608
931 0.593233 -5.6993 140.608
932 0.599521 -5.7056 140.608
933 0.604366 -5.71031 140.608
934 0.607565 -5.71382 140.608
935 0.609006 -5.71436 140.608
936 0.608658 -5.71446 140.608
937 0.606562 -5.7119 140.608
938 0.602841 -5.70908 140.608
939 0.597682 -5.70451 140.608
940 0.591327 -5.69859 140.608
941 0.584058 -5.69161 140.608
942 0.576201 -5.68433 140.608
943 0.568081 -5.67695 140.608
944 0.560003 -5.66765 140.608
945 0.552256 -5.65958 140.608
946 0.545097 -5.65271 140.608
947 0.538721 -5.64603 140.608
948 0.533248 -5.6404 140.608
949 0.528718 -5.63618 140.608
950 0.525083 -5.6324 140.608
951 0.52222 -5.6288 140.608
952 0.519936 -5.62653 140.608
953 0.518041 -5.62465 140.608
